epoch,train_loss,train_accuracy,val_loss,val_accuracy,seconds
1,0.27808345412304736,0.8970661765056024,0.19703881933159298,0.9271333333333334,2.8826758340001106
2,0.19520837413244527,0.9290758527421559,0.17706563605732387,0.9350666666666667,2.7578331669792533
3,0.1738146642226309,0.9373663684112782,0.16436574081579844,0.9401333333333334,2.864506000012625
4,0.15932313602614032,0.9424521069147949,0.15666122454537285,0.9429333333333333,2.770143250003457
5,0.14886929999005274,0.9460235524931071,0.1568585882001453,0.9438888888888889,2.5325473330158275
6,0.14219632404899113,0.948214039114472,0.17434613781240252,0.9358444444444445,2.411471667001024
7,0.13528019661423113,0.9504616688650899,0.15118775279257032,0.9457333333333333,2.529949832998682
8,0.129034099561958,0.9526712031962057,0.1509055765973197,0.9460888888888889,2.5286442910146434
9,0.12483923359468219,0.9547854989785666,0.1491982734097375,0.9477777777777778,2.5050637089880183
10,0.12034843771925566,0.9564236020171525,0.15123584016693964,0.9471111111111111,2.4419199170079082
11,0.11660092359820462,0.9575474168924614,0.15421601434018878,0.9467333333333333,2.502086958003929
12,0.11221637718362432,0.9587140891147101,0.15415884474118552,0.9474444444444444,2.493899416993372
13,0.10888194259188555,0.960123619636284,0.1515058770444658,0.9472666666666667,2.5029319589957595
